200	0.009	0.004	0.005	0.009	0.015	0.025	
400	0.004	0.002	0.002	0.004	0.006	0.011	
600	0.002	0.001	0.001	0.002	0.004	0.006	
800	0.002	0.001	0.001	0.002	0.003	0.004	
1000	0.001	0.001	0.001	0.001	0.002	0.004	
1400	0.001	0.0	0.001	0.001	0.002	0.003	
1800	0.001	0.0	0.001	0.001	0.002	0.003	
2200	0.001	0.0	0.001	0.001	0.002	0.003	
2600	0.001	0.001	0.001	0.001	0.002	0.004	
3000	0.001	0.001	0.001	0.001	0.003	0.004	
3800	0.004	0.001	0.002	0.004	0.006	0.01	
4200	0.009	0.004	0.005	0.009	0.016	0.026	
4600	0.114	0.043	0.067	0.114	0.203	0.345	
4700	0.304	0.115	0.179	0.304	0.539	0.922	
