1000,100,2.78
1000,200,2.64
1000,300,2.82
1000,400,3.02
1000,500,2.74
1000,600,2.67
1000,700,2.70
1000,800,2.79
1000,900,2.90
1500,100,3.57
1500,200,3.58
1500,300,3.76
1500,400,3.46
1500,500,3.94
1500,600,3.63
1500,700,3.64
1500,800,3.47
1500,900,3.94
1500,1000,3.74
1500,1100,3.52
1500,1200,3.69
1500,1300,3.70
1500,1400,4.06
2000,100,5.29
2000,200,5.10
2000,300,5.54
2000,400,5.68
2000,500,5.74
2000,600,5.51
2000,700,5.34
2000,800,5.66
2000,900,5.34
2000,1000,5.28
2000,1100,5.47
2000,1200,5.60
2000,1300,5.47
2000,1400,5.33
2000,1500,nan
2000,1600,5.33
2000,1700,5.74
2000,1800,6.00
2000,1900,7.08
2500,100,9.11
2500,200,9.16
2500,300,9.71
2500,400,9.03
2500,500,10.33
2500,600,9.58
2500,700,9.35
2500,900,10.11
2500,1000,9.76
2500,1100,9.87
2500,1200,10.40
2500,1300,10.02
2500,1400,10.36
2500,1500,nan
2500,1600,nan
2500,1700,10.34
2500,1800,10.24
2500,1900,10.27
2500,2000,10.33
2500,2100,10.63
2500,2200,11.09
2500,2300,11.67
2500,2400,13.97
3000,100,16.68
3000,200,16.72
3000,300,17.42
3000,400,17.58
3000,500,17.53
3000,600,18.68
3000,700,18.75
3000,800,18.66
3000,900,18.35
3000,1000,nan
3000,1100,19.00
3000,1200,18.94
3000,1300,19.04
3000,1400,18.92
3000,1500,19.21
3000,1600,19.51
3000,1700,19.39
3000,1800,19.92
3000,1900,19.51
3000,2000,19.86
3000,2100,20.33
3000,2200,20.34
3000,2300,20.70
3000,2400,20.59
3000,2500,20.86
3000,2600,21.26
3000,2700,21.92
3000,2800,24.15
3000,2900,26.80
3500,100,28.64
3500,200,29.09
3500,300,30.83
3500,400,31.06
3500,500,32.36
3500,600,53.87
3500,700,33.55
3500,800,34.27
3500,900,34.49
3500,1000,34.88
3500,1100,34.65
3500,1200,35.11
3500,1300,35.20
3500,1400,34.71
3500,1500,34.69
3500,1600,36.67
3500,1700,35.57
3500,1800,35.53
3500,1900,36.07
3500,2000,38.76
3500,2100,38.96
3500,2200,37.44
