200	3.046	0.021	0.163	3.046	6.13	9.238	
400	1.226	0.009	0.068	1.226	2.468	3.719	
600	0.702	0.005	0.037	0.702	1.413	2.129	
800	0.593	0.004	0.032	0.593	1.194	1.8	
1000	0.524	0.004	0.028	0.524	1.055	1.59	
1400	0.514	0.004	0.027	0.514	1.035	1.56	
1800	0.494	0.003	0.026	0.494	0.995	1.5	
2200	0.564	0.004	0.03	0.564	1.134	1.71	
2600	0.831	0.006	0.044	0.831	1.672	2.519	
3000	2.334	0.018	0.136	2.334	4.697	7.078	
3400	18.513	0.127	1.024	18.513	37.256	56.146	
3500	54.114	0.383	3.007	54.114	108.902	164.118	
