200	0.771	0.005	0.043	0.771	1.552	2.339	
400	0.435	0.003	0.024	0.435	0.876	1.32	
600	0.277	0.002	0.016	0.277	0.557	0.84	
800	0.223	0.002	0.013	0.223	0.448	0.675	
1000	0.208	0.002	0.012	0.208	0.418	0.63	
1400	0.178	0.001	0.01	0.178	0.358	0.54	
1800	0.148	0.001	0.008	0.148	0.299	0.45	
2200	0.134	0.001	0.007	0.134	0.269	0.405	
2600	0.134	0.001	0.007	0.134	0.269	0.405	
3000	0.148	0.001	0.008	0.148	0.299	0.45	
3800	0.312	0.002	0.017	0.312	0.627	0.945	
4200	0.791	0.005	0.042	0.791	1.592	2.399	
4600	7.674	0.047	0.389	7.674	15.444	23.274	
4700	17.326	0.102	0.875	17.326	34.868	52.546	
