200	632.911	66.752	411.756	632.911	1273.706	1919.506	
400	632.911	12.98	80.785	632.911	1273.706	1919.506	
600	622.31	6.685	6.704	622.31	624.791	627.266	
800	540.348	5.805	5.821	540.348	542.502	544.652	
1000	518.671	5.572	34.634	518.671	1043.802	1573.035	
1400	563.924	6.058	37.656	563.924	1134.872	1710.28	
1800	632.911	8.035	49.531	632.911	953.308	1917.003	
2200	632.911	14.216	86.719	632.911	1273.706	1919.506	
2600	632.911	27.195	164.428	632.911	1273.706	1919.506	
3000	632.911	64.28	401.905	632.911	1273.706	1919.506	
3400	0.0	630.439	630.439	630.439	630.439	630.439	
3500	0.0	630.439	630.439	630.439	630.439	630.439	
