4400,2600,0.00,0.00,0.01,0.00,2.22,2.51,49.52,57.49
4400,3000,0.00,0.00,0.01,0.00,2.22,2.78,49.94,58.05
4400,3400,0.00,0.00,0.00,0.01,2.14,2.77,48.76,57.78
4400,3800,0.01,0.01,0.01,0.01,1.70,2.73,42.59,50.69
4400,4200,0.01,0.01,0.00,0.00,0.95,2.52,21.82,27.04
4400,4300,0.00,0.01,0.00,0.01,1.00,2.31,20.74,26.47
4800,200,0.03,0.03,0.05,0.06,1.92,7.36,1.12,1.57
4800,400,0.01,0.01,0.04,0.09,4.80,7.22,6.04,8.21
4800,600,0.02,0.01,0.04,0.05,5.55,6.15,14.75,18.52
4800,800,0.00,0.00,0.00,0.01,4.85,4.94,22.82,28.23
4800,1000,0.00,0.00,0.00,0.00,4.12,4.26,29.52,35.49
4800,1400,0.01,0.00,0.01,0.02,3.37,3.34,39.69,45.51
4800,1800,0.00,0.00,0.00,0.00,3.05,2.92,46.43,52.87
4800,2200,0.01,0.00,0.00,0.00,2.76,2.63,49.12,56.84
4800,2600,0.01,0.00,0.01,0.00,2.66,2.78,50.02,59.70
4800,3000,0.00,0.01,0.01,0.01,2.21,2.87,50.85,60.65
4800,3800,0.00,0.00,0.00,0.00,2.11,2.74,48.62,59.19
4800,4200,0.01,0.01,0.01,0.01,1.85,2.98,42.47,52.24
4800,4600,0.01,0.00,0.00,0.01,0.94,2.46,23.85,29.45
4800,4700,0.01,0.00,0.00,0.00,1.21,2.51,23.51,28.44
