4400,2600,0.45,0.34,15.61,18.03,1.78,2.17,33.92,39.45
4400,3000,0.50,0.47,16.39,19.31,1.72,2.31,33.55,38.75
4400,3400,0.51,0.59,17.87,21.61,1.64,2.18,30.89,36.17
4400,3800,0.43,0.56,18.41,22.00,1.28,2.19,24.19,28.69
4400,4200,0.27,0.61,10.65,13.27,0.69,1.93,11.18,13.78
4400,4300,0.23,0.45,9.15,12.05,0.77,1.86,11.59,14.43
4800,200,0.67,1.70,1.04,1.39,1.28,5.69,0.12,0.24
4800,400,1.27,1.55,3.63,4.92,3.54,5.68,2.45,3.38
4800,600,1.25,1.26,7.05,9.42,4.32,4.91,7.73,9.16
4800,800,1.00,0.92,10.13,12.60,3.85,4.02,12.69,15.65
4800,1000,0.96,0.86,11.88,14.91,3.17,3.41,17.64,20.58
4800,1400,0.88,0.60,14.19,16.49,2.50,2.75,25.50,29.04
4800,1800,0.55,0.47,14.94,16.88,2.50,2.45,31.49,35.99
4800,2200,0.58,0.39,14.40,17.56,2.19,2.24,34.72,39.28
4800,2600,0.50,0.41,14.11,16.50,2.17,2.37,35.92,43.20
4800,3000,0.41,0.41,14.00,16.98,1.80,2.46,36.85,43.68
4800,3800,0.45,0.49,16.13,19.97,1.65,2.25,32.49,39.22
4800,4200,0.46,0.54,16.40,20.88,1.41,2.45,26.08,31.37
4800,4600,0.26,0.47,10.32,13.40,0.69,1.99,13.54,16.05
4800,4700,0.31,0.60,9.59,11.91,0.91,1.91,13.92,16.53
