200	0.028	0.008	0.014	0.028	0.056	0.084	
400	0.013	0.004	0.007	0.013	0.025	0.038	
600	0.008	0.002	0.004	0.008	0.016	0.024	
800	0.006	0.002	0.003	0.006	0.011	0.017	
1000	0.005	0.002	0.003	0.005	0.01	0.015	
1400	0.004	0.001	0.002	0.004	0.009	0.013	
1800	0.004	0.001	0.002	0.004	0.008	0.012	
2200	0.004	0.001	0.002	0.004	0.008	0.013	
2600	0.004	0.001	0.002	0.004	0.009	0.013	
3000	0.005	0.002	0.003	0.005	0.011	0.016	
3800	0.013	0.004	0.006	0.013	0.025	0.038	
4200	0.033	0.009	0.017	0.033	0.067	0.1	
4600	0.361	0.1	0.18	0.361	0.726	1.095	
4700	0.816	0.226	0.406	0.816	1.642	2.474	
