200	0.008	0.003	0.004	0.008	0.015	0.023	
400	0.004	0.001	0.002	0.004	0.007	0.011	
600	0.002	0.001	0.001	0.002	0.005	0.007	
800	0.002	0.001	0.001	0.002	0.003	0.005	
1000	0.002	0.001	0.001	0.002	0.003	0.005	
1400	0.001	0.0	0.001	0.001	0.003	0.004	
1800	0.001	0.0	0.001	0.001	0.003	0.004	
2200	0.001	0.0	0.001	0.001	0.003	0.004	
2600	0.002	0.001	0.001	0.002	0.004	0.006	
3000	0.003	0.001	0.002	0.003	0.006	0.009	
3400	0.007	0.002	0.004	0.007	0.015	0.022	
3800	0.093	0.027	0.048	0.093	0.188	0.283	
3900	0.216	0.063	0.111	0.216	0.435	0.656	
