200	2.611	0.075	0.167	2.611	5.254	7.918	
400	1.167	0.028	0.066	1.167	2.348	3.539	
600	0.653	0.018	0.04	0.653	1.314	1.979	
800	0.544	0.015	0.033	0.544	1.095	1.65	
1000	0.47	0.014	0.03	0.47	0.945	1.425	
1400	0.415	0.012	0.027	0.415	0.836	1.26	
1800	0.386	0.012	0.027	0.386	0.776	1.17	
2200	0.435	0.014	0.031	0.435	0.876	1.32	
2600	0.653	0.021	0.045	0.653	1.314	1.979	
3000	1.701	0.047	0.105	1.701	3.423	5.159	
3400	27.69	0.608	1.455	27.69	55.725	83.978	
3500	59.177	1.329	3.137	59.177	119.091	179.474	
