200	0.91	0.02	0.048	0.91	1.831	2.759	
400	0.326	0.008	0.018	0.326	0.657	0.99	
600	0.188	0.004	0.01	0.188	0.378	0.57	
800	0.148	0.003	0.008	0.148	0.299	0.45	
1000	0.134	0.003	0.007	0.134	0.269	0.405	
1400	0.119	0.003	0.006	0.119	0.239	0.36	
1800	0.114	0.003	0.006	0.114	0.229	0.345	
2200	0.116	0.003	0.006	0.116	0.234	0.352	
2600	0.134	0.003	0.007	0.134	0.269	0.405	
3000	0.173	0.004	0.009	0.173	0.348	0.525	
3400	0.257	0.006	0.015	0.257	0.517	0.78	
3800	0.544	0.016	0.034	0.544	1.095	1.65	
4200	3.6	0.172	0.346	3.6	7.244	10.917	
4300	5.934	0.382	0.751	5.934	11.941	17.995	
