200	0.047	0.019	0.029	0.047	0.08	0.136	
400	0.022	0.009	0.014	0.022	0.038	0.065	
600	0.014	0.006	0.009	0.014	0.024	0.041	
800	0.011	0.004	0.007	0.011	0.018	0.031	
1000	0.009	0.004	0.006	0.009	0.016	0.027	
1400	0.008	0.003	0.005	0.008	0.013	0.022	
1800	0.007	0.003	0.004	0.007	0.012	0.02	
2200	0.007	0.003	0.004	0.007	0.012	0.019	
2600	0.008	0.003	0.005	0.008	0.013	0.021	
3000	0.008	0.004	0.005	0.008	0.014	0.024	
3800	0.019	0.007	0.011	0.019	0.032	0.054	
4200	0.048	0.019	0.029	0.048	0.084	0.141	
4600	0.49	0.185	0.288	0.49	0.868	1.484	
4700	1.083	0.406	0.628	1.083	1.938	3.282	
