200	0.028	0.012	0.018	0.028	0.048	0.08	
400	0.013	0.006	0.008	0.013	0.022	0.037	
600	0.008	0.004	0.005	0.008	0.014	0.024	
800	0.007	0.003	0.004	0.007	0.011	0.019	
1000	0.006	0.003	0.004	0.006	0.01	0.016	
1400	0.005	0.002	0.003	0.005	0.008	0.013	
1800	0.004	0.002	0.003	0.004	0.007	0.012	
2200	0.004	0.002	0.003	0.004	0.007	0.012	
2600	0.005	0.002	0.003	0.005	0.008	0.013	
3000	0.006	0.003	0.004	0.006	0.01	0.017	
3400	0.01	0.004	0.006	0.01	0.016	0.027	
3800	0.025	0.01	0.015	0.025	0.042	0.07	
4200	0.276	0.108	0.164	0.276	0.48	0.81	
4300	0.583	0.223	0.344	0.583	1.025	1.745	
