200	0.028	0.009	0.016	0.028	0.056	0.086	
400	0.013	0.004	0.007	0.013	0.025	0.039	
600	0.007	0.002	0.004	0.007	0.014	0.021	
800	0.005	0.002	0.003	0.005	0.01	0.015	
1000	0.004	0.001	0.002	0.004	0.008	0.013	
1400	0.004	0.001	0.002	0.004	0.007	0.012	
1800	0.004	0.001	0.002	0.004	0.007	0.011	
2200	0.004	0.001	0.002	0.004	0.007	0.011	
2600	0.004	0.001	0.002	0.004	0.008	0.013	
3000	0.005	0.002	0.003	0.005	0.01	0.015	
3800	0.012	0.004	0.007	0.012	0.024	0.037	
4200	0.032	0.01	0.017	0.032	0.064	0.098	
4600	0.415	0.127	0.219	0.415	0.826	1.26	
4700	1.137	0.347	0.6	1.137	2.28	3.449	
