200	0.008	0.003	0.005	0.008	0.016	0.025	
400	0.003	0.001	0.002	0.003	0.006	0.01	
600	0.002	0.001	0.001	0.002	0.004	0.006	
800	0.002	0.001	0.001	0.002	0.003	0.005	
1000	0.001	0.001	0.001	0.001	0.003	0.004	
1400	0.001	0.0	0.001	0.001	0.002	0.004	
1800	0.001	0.0	0.001	0.001	0.002	0.004	
2200	0.001	0.001	0.001	0.001	0.003	0.004	
2600	0.002	0.001	0.001	0.002	0.003	0.006	
3000	0.003	0.001	0.002	0.003	0.005	0.009	
3400	0.008	0.003	0.004	0.008	0.014	0.023	
3800	0.102	0.036	0.057	0.102	0.193	0.309	
3900	0.234	0.079	0.13	0.234	0.451	0.71	
