200	0.074	0.018	0.033	0.074	0.149	0.225	
400	0.029	0.007	0.013	0.029	0.059	0.089	
600	0.018	0.004	0.008	0.018	0.036	0.054	
800	0.014	0.004	0.007	0.014	0.029	0.044	
1000	0.012	0.003	0.006	0.012	0.025	0.037	
1400	0.01	0.003	0.005	0.01	0.02	0.03	
1800	0.01	0.003	0.004	0.01	0.019	0.029	
2200	0.01	0.003	0.004	0.01	0.02	0.029	
2600	0.012	0.003	0.005	0.012	0.024	0.037	
3000	0.017	0.004	0.007	0.017	0.033	0.05	
3400	0.028	0.007	0.013	0.028	0.057	0.086	
3800	0.076	0.018	0.034	0.076	0.152	0.23	
4200	0.944	0.221	0.425	0.944	1.901	2.864	
4300	2.136	0.501	0.948	2.136	4.299	6.478	
