200	0.032	0.008	0.015	0.032	0.065	0.098	
400	0.014	0.004	0.007	0.014	0.029	0.044	
600	0.009	0.002	0.004	0.009	0.019	0.028	
800	0.007	0.002	0.003	0.007	0.015	0.022	
1000	0.006	0.002	0.003	0.006	0.013	0.019	
1400	0.005	0.001	0.003	0.005	0.011	0.016	
1800	0.005	0.001	0.002	0.005	0.01	0.015	
2200	0.006	0.002	0.003	0.006	0.011	0.017	
2600	0.008	0.002	0.003	0.008	0.015	0.023	
3000	0.012	0.003	0.006	0.012	0.025	0.037	
3400	0.033	0.008	0.015	0.033	0.066	0.1	
3800	0.452	0.108	0.203	0.452	0.911	1.372	
3900	1.058	0.248	0.473	1.058	2.129	3.209	
