200	18.987	0.158	0.562	18.987	38.211	57.585	
400	7.753	0.062	0.227	7.753	15.603	23.514	
600	4.509	0.037	0.134	4.509	9.075	13.676	
800	3.877	0.033	0.116	3.877	7.801	11.757	
1000	3.402	0.029	0.102	3.402	6.846	10.317	
1400	2.967	0.026	0.089	2.967	5.97	8.998	
1800	3.006	0.027	0.091	3.006	6.05	9.118	
2200	3.362	0.031	0.103	3.362	6.767	10.197	
2600	4.905	0.044	0.149	4.905	9.871	14.876	
3000	12.816	0.108	0.381	12.816	25.793	38.87	
3400	207.753	1.674	6.101	207.753	418.094	630.078	
3500	479.905	4.101	14.323	479.905	965.787	1455.466	
