200	9.256	0.088	0.276	9.256	18.628	28.073	
400	4.351	0.04	0.129	4.351	8.757	13.197	
600	2.294	0.022	0.069	2.294	4.617	6.958	
800	1.622	0.016	0.049	1.622	3.264	4.919	
1000	1.384	0.014	0.042	1.384	2.786	4.199	
1400	1.266	0.012	0.038	1.266	2.547	3.839	
1800	1.147	0.011	0.035	1.147	2.309	3.479	
2200	1.108	0.012	0.034	1.108	2.229	3.359	
2600	1.226	0.013	0.038	1.226	2.468	3.719	
3000	1.345	0.016	0.044	1.345	2.707	4.079	
3800	2.176	0.035	0.085	2.176	4.378	6.598	
4200	4.035	0.087	0.202	4.035	8.12	12.237	
4600	33.544	1.048	2.318	33.544	67.506	101.734	
4700	91.93	2.873	6.352	91.93	185.006	278.808	
