200	632.911	173.062	631.115	632.911	1273.706	1919.506	
400	632.911	39.557	178.624	632.911	1273.706	1919.506	
600	632.911	16.688	76.866	632.911	1273.706	1919.506	
800	481.171	10.808	49.392	481.171	968.335	1459.305	
1000	409.968	9.208	42.083	409.968	825.043	1243.36	
1400	397.468	8.928	40.8	397.468	799.887	1205.45	
1800	430.538	9.67	45.017	430.538	866.438	1305.744	
2200	513.291	12.03	54.128	513.291	1032.975	1556.719	
2600	632.911	16.07	71.489	632.911	1273.706	1919.506	
3000	632.911	21.633	98.043	632.911	1273.706	1919.506	
3800	632.911	69.225	307.03	632.911	1273.706	1919.506	
4200	632.911	168.117	631.096	632.911	1273.706	1919.506	
4600	0.0	630.439	630.439	630.439	630.439	630.439	
4700	0.0	630.439	630.439	630.439	630.439	630.439	
