200	0.168	0.001	0.008	0.168	0.338	0.51	
400	0.082	0.001	0.004	0.082	0.164	0.247	
600	0.054	0.0	0.003	0.054	0.109	0.165	
800	0.036	0.0	0.002	0.036	0.072	0.109	
1000	0.03	0.0	0.002	0.03	0.061	0.092	
1400	0.024	0.0	0.001	0.024	0.049	0.073	
1800	0.02	0.0	0.001	0.02	0.041	0.062	
2200	0.019	0.0	0.001	0.019	0.039	0.058	
2600	0.019	0.0	0.001	0.019	0.039	0.058	
3000	0.021	0.0	0.001	0.021	0.042	0.064	
3800	0.043	0.0	0.002	0.043	0.087	0.131	
4200	0.099	0.001	0.004	0.099	0.199	0.3	
4600	0.93	0.01	0.042	0.93	1.871	2.819	
4700	2.492	0.024	0.104	2.492	5.015	7.558	
